Fat,Protein,Carbs,Calories
13.0,6.0,41.0,298.4981528340992
11.0,4.0,53.0,318.6221305063882
4.0,6.0,80.0,368.19992448709536
2.0,8.0,46.0,228.90749083757922
9.0,7.0,41.0,267.355048485843
9.0,7.0,48.0,294.0761285221401
9.0,7.0,44.0,278.8069399299703
10.0,7.0,45.0,291.42121675808613
25.0,5.0,64.0,487.814929027918
22.0,6.0,64.0,465.4688043597351
12.0,2.0,45.0,288.79110425804794
29.0,6.0,47.0,462.1536106035263
10.0,6.0,46.0,291.1936995340916
23.0,6.0,64.0,474.26578403980835
17.0,7.0,48.0,364.4519659627264
17.0,7.0,51.0,375.9038574068537
19.0,5.0,48.0,373.95629657879914
13.0,14.0,64.0,418.65450221537117
20.0,7.0,65.0,455.73695651966796
20.0,7.0,65.0,455.73695651966796
2.0,11.0,44.0,233.40733965760518
2.0,10.0,49.0,248.4490110257805
19.0,4.0,37.0,327.9212135782951
8.0,8.0,49.0,293.1412603621463
26.0,33.0,11.0,407.54996227877564
33.0,6.0,57.0,535.514500804244
33.0,7.0,56.0,535.7420180282385
27.0,6.0,63.0,505.6364056120591
3.0,1.0,83.0,350.63076439096466
3.0,0.0,86.0,358.0378414630552
20.0,10.0,64.0,464.05410248773626
26.0,8.0,62.0,501.1117575280172
18.0,8.0,66.0,446.0051086796008
25.0,6.0,64.0,491.85974339995494
20.0,9.0,67.0,471.4611795598268
31.0,10.0,53.0,518.8306103400754
20.0,10.0,62.0,456.4195081916514
44.0,7.0,45.0,590.5185258805776
3.0,10.0,80.0,375.58220229516985
8.0,6.0,81.0,407.2051403554309
13.0,4.0,79.0,435.4658157156386
26.0,5.0,65.0,500.4292058560337
37.0,7.0,51.0,551.8434510083193
3.0,10.0,80.0,375.58220229516985
17.0,8.0,71.0,456.29461473973976
4.0,8.0,82.0,383.9241475272542
21.0,7.0,68.0,475.98582764386856
27.0,7.0,61.0,502.0466256880111
25.0,7.0,63.0,492.08726062394936
29.0,14.0,45.0,486.87753128373686
27.0,4.0,60.0,486.0948854238578
2.0,3.0,79.0,334.6542248627955
8.0,2.0,81.0,391.0258828672832
19.0,5.0,73.0,469.3887252798604
3.0,2.0,88.0,373.76206450321394
48.0,12.0,36.0,611.5748421286733
52.0,14.0,28.0,624.3140124087006
27.0,6.0,64.0,509.45370276010146
30.0,18.0,47.0,519.488362748043
32.0,6.0,59.0,534.3521154202557
5.0,5.0,29.0,178.26993524496658
16.0,4.0,22.0,244.2708173174385
4.0,5.0,23.0,146.56917267663857
11.0,4.0,24.0,207.92051321315705
3.0,5.0,22.0,133.95489584852282
2.0,1.0,30.0,139.5170358646414
7.0,4.0,78.0,378.86664048715636
5.0,1.0,82.0,364.40742660306887
14.0,3.0,75.0,424.94879243150496
34.0,10.0,53.0,545.2215493802952
22.0,5.0,65.0,465.24128713574066
2.0,3.0,79.0,334.6542248627955
0.0,0.0,72.0,278.20474235024096
7.0,5.0,26.0,184.41200316098576
28.0,8.0,60.0,511.07112259207884
30.0,8.0,59.0,524.847784804183
2.0,3.0,20.0,109.43369312829077
2.0,3.0,18.0,101.79909883220587
8.0,6.0,40.0,250.69595728569038
16.0,11.0,67.0,444.36288958360745
18.0,2.0,76.0,459.90919392780364
19.0,2.0,77.0,472.52347075591933
18.0,9.0,66.0,450.0499230516377
17.0,11.0,65.0,445.5252749675959
19.0,10.0,65.0,459.0744199557055
11.0,3.0,53.0,314.57731613435124
8.0,5.0,51.0,288.64141154212035
9.0,7.0,49.0,297.89342567018264
12.0,12.0,44.0,325.4219508303749
5.0,3.0,40.0,212.1705751293597
1.0,15.0,46.0,248.42421176176455
0.0,2.0,6.0,34.35275932351293
0.0,2.0,19.0,83.97762224806482
10.0,3.0,34.0,233.25169064147133
9.0,2.0,36.0,228.044490885446
2.0,22.0,0.0,109.93922323614358
2.0,6.0,23.0,133.02002768852896
5.0,24.0,3.0,155.87168246456466
0.0,27.0,0.0,112.56933573618171
100.0,1.0,0.0,887.102130070549
2.0,12.0,0.0,69.49107951577417
5.0,23.0,0.0,140.37497664840038
6.0,23.0,0.0,149.1719563284736
30.0,40.0,0.0,429.0613129748603
8.0,17.0,4.0,157.7662180485684
0.0,20.0,0.0,84.25563513192313
0.0,13.0,0.0,55.94193452766455
4.0,19.0,0.0,115.39873948017929
0.0,0.0,0.0,3.3593476911843254
3.0,57.0,0.0,260.30470593750977
3.0,22.0,0.0,118.73620291621685
97.0,0.0,0.0,856.6663766582923
46.0,13.0,0.0,460.6029998110354
100.0,0.0,0.0,883.0573156985121
4.0,11.0,5.0,102.12671024409607
0.0,1.0,12.0,53.21172783973071
5.0,10.0,77.0,381.724270211189
0.0,1.0,4.0,22.67335065539108
1.0,1.0,9.0,50.556816075676615
5.0,10.0,75.0,374.08967591510407
0.0,0.0,3.0,14.811239135311684
2.0,4.0,39.0,186.0071533131343
11.0,33.0,0.0,233.6049984492094
12.0,7.0,48.0,320.46706756236006
6.0,6.0,18.0,149.1214606686098
4.0,9.0,11.0,116.94086438827688
3.0,21.0,2.0,122.32598284026484
6.0,23.0,0.0,149.1719563284736
1.0,1.0,12.0,62.00870751980397
99.0,0.0,0.0,874.2603360184387
6.0,27.0,0.0,165.3512138166214
3.0,15.0,5.0,109.50898805217054
5.0,52.0,0.0,257.67459343747163
7.0,35.0,0.0,206.50670847299014
5.0,25.0,0.0,148.46460539247425
13.0,23.0,0.0,210.75081408898654
3.0,22.0,0.0,118.73620291621685
1.0,21.0,0.0,97.09742918403336
2.0,62.0,0.0,271.73179811762117
2.0,33.0,0.0,154.4321813285499
2.0,20.0,0.0,101.84959449206968
11.0,14.0,66.0,408.6951371513095
18.0,56.0,0.0,388.21458676657204
10.0,8.0,46.0,299.2833282781655
8.0,8.0,29.0,216.79531740129718
11.0,13.0,19.0,225.2373568212772
11.0,13.0,18.0,221.42005967323482
5.0,12.0,20.0,172.2279615168431
18.0,11.0,31.0,324.5341516142257
9.0,6.0,31.0,225.1372626333815
13.0,12.0,22.0,250.23839325351415
10.0,12.0,23.0,227.6647513613368
7.0,3.0,27.0,180.1396715649543
5.0,3.0,31.0,177.81490079697758
7.0,7.0,17.0,158.14595757267756
12.0,8.0,27.0,244.3486418255054
3.0,4.0,33.0,171.90035010495288
13.0,3.0,31.0,248.1907382375638
9.0,32.0,0.0,211.9662247170259
12.0,6.0,16.0,194.2687444529645
14.0,3.0,35.0,272.25690650980687
7.0,29.0,0.0,182.23782224076854
14.0,12.0,21.0,255.218075785545
16.0,13.0,24.0,288.3087409618559
7.0,10.0,7.0,132.10742920836384
2.0,5.0,20.0,117.52332187236463
5.0,8.0,5.0,98.78924680805851
13.0,14.0,22.0,258.3280219975881
4.0,6.0,16.0,123.89290701237834
0.0,0.0,87.0,335.4641995708778
0.0,0.0,2.0,10.993941987269233
10.0,6.0,26.0,214.84775657324246
14.0,2.0,7.0,161.32777199258126
19.0,12.0,3.0,230.49162552114726
1.0,4.0,38.0,173.39287648501858
13.0,3.0,24.0,221.46965820126664
16.0,2.0,73.0,430.86334312352983
29.0,10.0,57.0,516.5058395720986
2.0,1.0,20.0,101.34406438421688
53.0,0.0,0.0,469.59927073506805
3.0,2.0,13.0,87.46477840002994
13.0,0.0,27.0,220.7871065292832
23.0,23.0,1.0,302.5379080377618
32.0,6.0,3.0,320.5834751298782
10.0,12.0,2.0,147.5015112524453
2.0,4.0,5.0,56.219050279690904
38.0,14.0,2.0,401.9065710385711
1.0,2.0,26.0,119.49568196443528
3.0,0.0,16.0,90.82704110008343
18.0,3.0,71.0,444.86752255962836
100.0,0.0,0.0,883.0573156985121
1.0,12.0,3.0,72.14599127982825
35.0,2.0,2.0,326.9778595339078
30.0,42.0,4.0,452.42013031110395
0.0,0.0,38.0,148.41663931679756
0.0,0.0,91.0,350.73338816304766
0.0,1.0,5.0,26.490647803433532
12.0,27.0,0.0,218.13309189706104
10.0,28.0,0.0,204.58394690895145
0.0,1.0,11.0,49.39443069168825
42.0,37.0,1.0,526.3079231676712
5.0,29.0,0.0,164.643862880622
0.0,3.0,26.0,114.74351665639892
2.0,11.0,81.0,374.64733413517587
1.0,11.0,3.0,68.10117690779131
1.0,24.0,20.0,185.57781526099322
0.0,0.0,12.0,49.166913467693774
13.0,21.0,9.0,237.0168596772948
2.0,4.0,9.0,71.48823887186073
1.0,1.0,24.0,107.81627329631344
2.0,4.0,16.0,98.2093189081579
0.0,1.0,5.0,26.490647803433532
3.0,13.0,80.0,387.7166454112806
3.0,10.0,78.0,367.94760799908494
1.0,1.0,16.0,77.2778961119738
5.0,5.0,20.0,143.9142609125845
2.0,7.0,87.0,381.3718595352829
0.0,0.0,11.0,45.34961631965131
2.0,2.0,5.0,48.12942153561703
1.0,7.0,89.0,380.20947415129456
0.0,1.0,21.0,87.56740217211279
0.0,0.0,16.0,64.43610205986357
8.0,4.0,73.0,368.57713442701737
17.0,28.0,3.0,277.61469611359166
78.0,0.0,0.0,689.5237627369
100.0,0.0,0.0,883.0573156985121
0.0,0.0,44.0,171.32042220505227
0.0,0.0,72.0,278.20474235024096
3.0,10.0,74.0,352.6784194069151
0.0,2.0,86.0,339.7365311669092
1.0,21.0,5.0,116.18391492424564
0.0,0.0,73.0,282.02203949828345
1.0,16.0,2.0,84.50795161993356
1.0,20.0,0.0,93.0526148119964
0.0,1.0,9.0,41.759836395603344
0.0,0.0,7.0,30.0804277274815
0.0,0.0,6.0,26.26313057943905
0.0,2.0,16.0,72.52573080393745
1.0,1.0,10.0,54.374113223719085
0.0,1.0,28.0,114.28848220840996
0.0,1.0,33.0,133.3749679486222
0.0,1.0,17.0,72.29821357994297
0.0,1.0,10.0,45.5771335436458
1.0,1.0,12.0,62.00870751980397
0.0,1.0,23.0,95.20199646819769
0.0,1.0,26.0,106.65388791232503
0.0,1.0,5.0,26.490647803433532
1.0,0.0,20.0,88.50227033210669
0.0,1.0,32.0,129.55767080057979
0.0,1.0,17.0,72.29821357994297
0.0,1.0,8.0,37.942539247560894
1.0,3.0,63.0,264.780490814043
0.0,0.0,22.0,87.33988494811831
0.0,1.0,8.0,37.942539247560894
0.0,0.0,42.0,163.68582790896738
0.0,1.0,16.0,68.48091643190052
0.0,1.0,21.0,87.56740217211279
0.0,1.0,10.0,45.5771335436458
0.0,1.0,21.0,87.56740217211279
0.0,0.0,11.0,45.34961631965131
0.0,0.0,11.0,45.34961631965131
0.0,0.0,20.0,79.70529065203341
0.0,1.0,9.0,41.759836395603344
0.0,0.0,12.0,49.166913467693774
0.0,0.0,15.0,60.618804911821115
0.0,0.0,15.0,60.618804911821115
0.0,0.0,16.0,64.43610205986357
0.0,0.0,16.0,64.43610205986357
0.0,2.0,65.0,259.5732910580177
0.0,0.0,83.0,320.195010978708
0.0,2.0,18.0,80.16032510002236
2.0,2.0,24.0,120.65806734842363
0.0,0.0,16.0,64.43610205986357
0.0,0.0,13.0,52.98421061573622
0.0,0.0,15.0,60.618804911821115
0.0,0.0,13.0,52.98421061573622
1.0,1.0,23.0,103.99897614827096
1.0,1.0,17.0,81.09519326001625
0.0,0.0,6.0,26.26313057943905
1.0,2.0,8.0,50.784333299671104
0.0,0.0,12.0,49.166913467693774
0.0,0.0,15.0,60.618804911821115
0.0,1.0,12.0,53.21172783973071
0.0,0.0,15.0,60.618804911821115
0.0,1.0,13.0,57.02902498777316
0.0,1.0,11.0,49.39443069168825
0.0,1.0,13.0,57.02902498777316
0.0,0.0,12.0,49.166913467693774
0.0,0.0,11.0,45.34961631965131
0.0,0.0,5.0,22.445833431396593
0.0,0.0,6.0,26.26313057943905
0.0,1.0,40.0,160.0960479849194
0.0,1.0,41.0,163.9133451329619
0.0,1.0,11.0,49.39443069168825
0.0,4.0,80.0,324.92237702272837
1.0,0.0,14.0,65.59848744385195
1.0,1.0,8.0,46.73951892763417
1.0,1.0,12.0,62.00870751980397
15.0,18.0,0.0,208.12070158894844
89.0,3.0,0.0,798.4249823338167
53.0,9.0,0.0,506.0026000834005
66.0,9.0,0.0,620.3633359243531
11.0,20.0,0.0,181.0224116127292
10.0,27.0,0.0,200.53913253691448
3.0,22.0,0.0,118.73620291621685
5.0,29.0,0.0,164.643862880622
13.0,20.0,0.0,198.61637097287576
14.0,27.0,0.0,235.7270512572076
14.0,27.0,0.0,235.7270512572076
15.0,27.0,0.0,244.52403093728088
12.0,20.0,0.0,189.81939129280246
16.0,27.0,0.0,253.32101061735412
14.0,24.0,0.0,223.5926081410968
17.0,24.0,0.0,249.98354718131665
14.0,28.0,0.0,239.7718656292446
11.0,26.0,0.0,205.29129784495083
13.0,27.0,0.0,226.93007157713436
4.0,22.0,0.0,127.53318259629013
16.0,27.0,0.0,253.32101061735412
13.0,24.0,0.0,214.79562846102348
15.0,27.0,0.0,244.52403093728088
5.0,22.0,0.0,136.3301622763634
12.0,29.0,0.0,226.2227206411349
12.0,27.0,0.0,218.13309189706104
13.0,27.0,0.0,226.93007157713436
4.0,22.0,0.0,127.53318259629013
7.0,31.0,0.0,190.32745098484241
7.0,22.0,0.0,153.92412163650997
8.0,29.0,0.0,191.03480192084183
9.0,27.0,0.0,191.74215285684122
9.0,26.0,0.0,187.69733848480428
18.0,17.0,0.0,230.46682625713126
21.0,23.0,0.0,281.1266515295728
7.0,20.0,0.0,145.83449289243606
14.0,25.0,0.0,227.63742251313374
9.0,27.0,0.0,191.74215285684122
13.0,27.0,0.0,226.93007157713436
12.0,17.0,0.0,177.68494817669162
18.0,25.0,0.0,262.82534123342685
17.0,26.0,0.0,258.0731759253905
14.0,24.0,0.0,223.5926081410968
23.0,15.0,0.0,266.36209591342384
30.0,29.0,0.0,384.568354882454
9.0,28.0,0.0,195.78696722887813
20.0,12.0,0.0,227.8367137570932
15.0,22.0,1.0,228.1172562251387
11.0,16.0,0.0,164.84315412458142
13.0,23.0,0.0,210.75081408898654
5.0,25.0,0.0,148.46460539247425
94.0,2.0,0.0,838.3650663621463
4.0,21.0,2.0,131.1229625203381
4.0,26.0,4.0,158.98162867660773
3.0,14.0,0.0,86.37768793992132
3.0,18.0,0.0,102.55694542806907
3.0,28.0,0.0,143.00508914843854
10.0,17.0,0.0,160.0909888165451
12.0,26.0,0.0,214.0882775250241
3.0,20.0,1.0,114.46387132018542
10.0,12.0,0.0,139.8669169563604
6.0,21.0,2.0,148.7169218804847
9.0,23.0,0.0,175.56289536869346
28.0,13.0,2.0,309.89195986580125
4.0,20.0,0.0,119.44355385221624
19.0,18.0,0.0,243.30862030924158
6.0,22.0,0.0,145.1271419564367
61.0,6.0,0.0,564.243994407876
62.0,8.0,0.0,581.1306028320232
21.0,20.0,0.0,268.992208413462
7.0,25.0,0.0,166.05856475262078
36.0,17.0,0.0,388.8124604984503
8.0,30.0,0.0,195.0796162928788
10.0,29.0,0.0,208.62876128098839
17.0,25.0,0.0,254.0283615533536
7.0,18.0,0.0,137.74486414836218
8.0,21.0,0.0,158.67628694454632
8.0,29.0,0.0,191.03480192084183
15.0,19.0,0.0,212.16551596098537
14.0,20.0,0.0,207.41335065294902
16.0,26.0,0.0,249.27619624531727
16.0,28.0,0.0,257.3658249893911
18.0,26.0,0.0,266.87015560546376
12.0,28.0,0.0,222.177906269098
10.0,29.0,0.0,208.62876128098839
12.0,19.0,0.0,185.77457692076558
18.0,26.0,0.0,266.87015560546376
29.0,22.0,0.0,347.4576745981221
5.0,28.0,0.0,160.59904850858504
6.0,28.0,0.0,169.3960281886583
7.0,30.0,0.0,186.28263661280548
3.0,23.0,0.0,122.7810172882538
21.0,17.0,0.0,256.85776529735114
21.0,26.0,0.0,293.2610946456836
8.0,30.0,0.0,195.0796162928788
4.0,26.0,0.0,143.7124400844379
14.0,26.0,0.0,231.68223688517062
6.0,21.0,0.0,141.08232758439976
9.0,29.0,0.0,199.83178160091512
4.0,18.0,0.0,111.35392510814236
3.0,18.0,5.0,121.64343116828137
5.0,17.0,2.0,123.74068471226363
5.0,29.0,0.0,164.643862880622
8.0,28.0,0.0,186.9899875488049
43.0,36.0,1.0,531.0600884757076
4.0,21.0,1.0,127.30566537229565
3.0,15.0,1.0,94.23979946000073
4.0,21.0,1.0,127.30566537229565
4.0,22.0,1.0,131.35047974433257
4.0,24.0,0.0,135.62281134036402
5.0,25.0,0.0,148.46460539247425
11.0,6.0,42.0,284.72149062199503
7.0,4.0,40.0,233.80934886154319
4.0,8.0,51.0,265.5879359379381
1.0,5.0,74.0,314.8603881865838
24.0,9.0,59.0,476.11072109578026
5.0,6.0,43.0,235.75690968959785
9.0,4.0,72.0,373.55681695904815
11.0,5.0,73.0,399.01288783927424
4.0,4.0,50.0,245.59138130174784
29.0,3.0,59.0,495.826733263925
32.0,6.0,52.0,507.63103538395836
25.0,3.0,51.0,430.10043735929224
8.0,11.0,76.0,408.34272647540337
13.0,9.0,72.0,428.96880753952604
12.0,9.0,56.0,359.09507349077353
25.0,7.0,53.0,453.91428914352485
