Fat,Protein,Carbs
13,6,41
11,4,53
4,6,80
2,8,46
9,7,41
9,7,48
9,7,44
10,7,45
25,5,64
22,6,64
12,2,45
29,6,47
10,6,46
23,6,64
17,7,48
17,7,51
19,5,48
13,14,64
20,7,65
20,7,65
2,11,44
2,10,49
19,4,37
8,8,49
26,33,11
33,6,57
33,7,56
27,6,63
3,1,83
3,0,86
20,10,64
26,8,62
18,8,66
25,6,64
20,9,67
31,10,53
20,10,62
44,7,45
3,10,80
8,6,81
13,4,79
26,5,65
37,7,51
3,10,80
17,8,71
4,8,82
21,7,68
27,7,61
25,7,63
29,14,45
27,4,60
2,3,79
8,2,81
19,5,73
3,2,88
48,12,36
52,14,28
27,6,64
30,18,47
32,6,59
5,5,29
16,4,22
4,5,23
11,4,24
3,5,22
2,1,30
7,4,78
5,1,82
14,3,75
34,10,53
22,5,65
2,3,79
0,0,72
7,5,26
28,8,60
30,8,59
2,3,20
2,3,18
8,6,40
16,11,67
18,2,76
19,2,77
18,9,66
17,11,65
19,10,65
11,3,53
8,5,51
9,7,49
12,12,44
5,3,40
1,15,46
0,2,6
0,2,19
10,3,34
9,2,36
2,22,0
2,6,23
5,24,3
0,27,0
100,1,0
2,12,0
5,23,0
6,23,0
30,40,0
8,17,4
0,20,0
0,13,0
4,19,0
0,0,0
3,57,0
3,22,0
97,0,0
46,13,0
100,0,0
4,11,5
0,1,12
5,10,77
0,1,4
1,1,9
5,10,75
0,0,3
2,4,39
11,33,0
12,7,48
6,6,18
4,9,11
3,21,2
6,23,0
1,1,12
99,0,0
6,27,0
3,15,5
5,52,0
7,35,0
5,25,0
13,23,0
3,22,0
1,21,0
2,62,0
2,33,0
2,20,0
11,14,66
18,56,0
10,8,46
8,8,29
11,13,19
11,13,18
5,12,20
18,11,31
9,6,31
13,12,22
10,12,23
7,3,27
5,3,31
7,7,17
12,8,27
3,4,33
13,3,31
9,32,0
12,6,16
14,3,35
7,29,0
14,12,21
16,13,24
7,10,7
2,5,20
5,8,5
13,14,22
4,6,16
0,0,87
0,0,2
10,6,26
14,2,7
19,12,3
1,4,38
13,3,24
16,2,73
29,10,57
2,1,20
53,0,0
3,2,13
13,0,27
23,23,1
32,6,3
10,12,2
2,4,5
38,14,2
1,2,26
3,0,16
18,3,71
100,0,0
1,12,3
35,2,2
30,42,4
0,0,38
0,0,91
0,1,5
12,27,0
10,28,0
0,1,11
42,37,1
5,29,0
0,3,26
2,11,81
1,11,3
1,24,20
0,0,12
13,21,9
2,4,9
1,1,24
2,4,16
0,1,5
3,13,80
3,10,78
1,1,16
5,5,20
2,7,87
0,0,11
2,2,5
1,7,89
0,1,21
0,0,16
8,4,73
17,28,3
78,0,0
100,0,0
0,0,44
0,0,72
3,10,74
0,2,86
1,21,5
0,0,73
1,16,2
1,20,0
0,1,9
0,0,7
0,0,6
0,2,16
1,1,10
0,1,28
0,1,33
0,1,17
0,1,10
1,1,12
0,1,23
0,1,26
0,1,5
1,0,20
0,1,32
0,1,17
0,1,8
1,3,63
0,0,22
0,1,8
0,0,42
0,1,16
0,1,21
0,1,10
0,1,21
0,0,11
0,0,11
0,0,20
0,1,9
0,0,12
0,0,15
0,0,15
0,0,16
0,0,16
0,2,65
0,0,83
0,2,18
2,2,24
0,0,16
0,0,13
0,0,15
